"occurrences","event_name","user_arn"
"53","ListDevelopmentSchemaArns","arn:aws:iam::811596193553:user/backup"
"53","ListRoles","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"53","AssumeRole","arn:aws:iam::811596193553:user/SecurityMokey"
"53","ListApps","arn:aws:iam::811596193553:user/backup"
"53","GetBlueprints","arn:aws:iam::811596193553:user/backup"
"53","GetDiskSnapshots","arn:aws:iam::811596193553:user/backup"
"53","ListExports","arn:aws:iam::811596193553:user/backup"
"53","ListMFADevices","arn:aws:iam::811596193553:user/backup"
"53","ListXssMatchSets","arn:aws:iam::811596193553:user/Level6"
"53","ListAssessmentRuns","arn:aws:iam::811596193553:user/backup"
"53","ListBackups","arn:aws:iam::811596193553:user/backup"
"52","ListServices","arn:aws:iam::811596193553:user/backup"
"52","ListThings","arn:aws:iam::811596193553:user/backup"
"52","GetClientCertificates","arn:aws:iam::811596193553:user/backup"
"52","ListElasticsearchVersions","arn:aws:iam::811596193553:user/backup"
"52","ListUserProfiles","arn:aws:iam::811596193553:user/backup"
"52","GetUsagePlans","arn:aws:iam::811596193553:user/backup"
"52","ListBuilds","arn:aws:iam::811596193553:user/Level6"
"52","ListGlobalTables","arn:aws:iam::811596193553:user/backup"
"52","ListFieldLevelEncryptionProfiles2019_03_26","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"52","GetApiKeys","arn:aws:iam::811596193553:user/backup"
"52","ListRegexMatchSets","arn:aws:iam::811596193553:user/Level6"
"52","ListDevelopmentSchemaArns","arn:aws:iam::811596193553:user/Level6"
"52","ListGeoMatchSets","arn:aws:iam::811596193553:user/Level6"
"52","ListByteMatchSets","arn:aws:iam::811596193553:user/Level6"
"52","DescribeRepositories","arn:aws:iam::811596193553:user/backup"
"51","DescribeDBClusterParameterGroups","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"51","ListAssessmentTargets","arn:aws:iam::811596193553:user/backup"
"51","ListRateBasedRules","arn:aws:iam::811596193553:user/Level6"
"51","ListRegexPatternSets","arn:aws:iam::811596193553:user/Level6"
"51","ListServerCertificates","arn:aws:iam::811596193553:user/backup"
"51","DescribeDBClusterSnapshots","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"51","DescribePendingMaintenanceActions","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"51","ListEndpoints","arn:aws:iam::811596193553:user/backup"
"51","DescribeDBClusters","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"51","GetDomains","arn:aws:iam::811596193553:user/backup"
"51","ListCloudFrontOriginAccessIdentities2019_03_26","arn:aws:iam::811596193553:user/backup"
"51","ListRoots","arn:aws:iam::811596193553:user/backup"
"50","ListNotebookInstanceLifecycleConfigs","arn:aws:iam::811596193553:user/backup"
"50","ListPortfolios","arn:aws:iam::811596193553:user/backup"
"50","ListModels","arn:aws:iam::811596193553:user/backup"
"50","ListCreateAccountStatus","arn:aws:iam::811596193553:user/backup"
"50","ListHandshakesForAccount","arn:aws:iam::811596193553:user/backup"
"50","ListTrainingJobs","arn:aws:iam::811596193553:user/backup"
"50","ListLexicons","arn:aws:iam::811596193553:user/backup"
"50","ListRecordHistory","arn:aws:iam::811596193553:user/backup"
"50","ListEndpointConfigs","arn:aws:iam::811596193553:user/backup"
"49","ListRules","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"49","DescribeClusterSecurityGroups","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"49","ListRepositories","arn:aws:iam::811596193553:user/backup"
"49","ListLexicons","arn:aws:iam::811596193553:user/Level6"
"49","ListVocabularies","arn:aws:iam::811596193553:user/backup"
"49","ListTranscriptionJobs","arn:aws:iam::811596193553:user/backup"
"49","ListDomainNames","arn:aws:iam::811596193553:user/Level6"
"49","DescribeClusterParameterGroups","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"49","ListPolicies","arn:aws:iam::811596193553:user/Level6"
"48","ListVocabularies","arn:aws:iam::811596193553:user/Level6"
"48","ListStreams","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"48","ListFleets","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"48","ListDetectors","arn:aws:iam::811596193553:user/backup"
"48","GetDomains","arn:aws:iam::811596193553:user/Level6"
"48","ListFindings","arn:aws:iam::811596193553:user/Level6"
"48","GetBundles","arn:aws:iam::811596193553:user/Level6"
"48","GetOperations","arn:aws:iam::811596193553:user/Level6"
"47","ListAliases","arn:aws:iam::811596193553:user/Level6"
"47","ListAssessmentRuns","arn:aws:iam::811596193553:user/Level6"
"47","ListTranscriptionJobs","arn:aws:iam::811596193553:user/Level6"
"47","ListRepositories","arn:aws:iam::811596193553:user/Level6"
"47","DescribeAlarms","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"47","ListAssessmentTargets","arn:aws:iam::811596193553:user/Level6"
"47","ListElasticsearchVersions","arn:aws:iam::811596193553:user/Level6"
"47","GetAccountAuthorizationDetails","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"46","ListHapgs","arn:aws:iam::811596193553:user/backup"
"46","ListHsms","arn:aws:iam::811596193553:user/backup"
"46","ListApps","arn:aws:iam::811596193553:user/Level6"
"46","ListLunaClients","arn:aws:iam::811596193553:user/backup"
"45","ListPortfolios","arn:aws:iam::811596193553:user/Level6"
"45","ListRecordHistory","arn:aws:iam::811596193553:user/Level6"
"45","GetServers","arn:aws:iam::811596193553:user/backup"
"44","ListGroups","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a"
"44","ListSAMLProviders","arn:aws:iam::811596193553:user/backup"
"44","DescribePendingMaintenanceActions","arn:aws:iam::811596193553:user/backup"
"44","ListAttacks","arn:aws:iam::811596193553:user/Level6"
"44","ListEnvironments","arn:aws:iam::811596193553:user/Level6"
"44","GetAccount","arn:aws:iam::811596193553:user/backup"
"43","ListOrganizations","arn:aws:iam::811596193553:user/Level6"
"43","CreateBucket","arn:aws:iam::811596193553:user/backup"
"43","ListMigrationTasks","arn:aws:iam::811596193553:user/Level6"
"43","ListContainers","arn:aws:iam::811596193553:user/backup"
"43","DescribeDBClusterParameterGroups","arn:aws:iam::811596193553:user/backup"
"43","GetJobs","arn:aws:iam::811596193553:user/backup"
"43","ListProgressUpdateStreams","arn:aws:iam::811596193553:user/Level6"
"43","ListProtections","arn:aws:iam::811596193553:user/Level6"
"43","DescribeSourceRegions","arn:aws:iam::811596193553:user/backup"
"42","ListOutgoingCertificates","arn:aws:iam::811596193553:user/backup"
"42","ListCompatibleImages","arn:aws:iam::811596193553:user/backup"
"42","ListWebhooks","arn:aws:iam::811596193553:user/backup"
"42","ListActionTypes","arn:aws:iam::811596193553:user/backup"
"42","ListServiceActions","arn:aws:iam::811596193553:user/backup"
"42","ListStackSets","arn:aws:iam::811596193553:user/backup"
"42","GetDevEndpoints","arn:aws:iam::811596193553:user/backup"
"42","ListTopicsDetectionJobs","arn:aws:iam::811596193553:user/backup"
"42","ListGateways","arn:aws:iam::811596193553:user/backup"
"42","DescribeSnapshots","arn:aws:iam::811596193553:user/backup"
"42","ListProtections","arn:aws:iam::811596193553:user/backup"
"42","ListTopicsDetectionJobs","arn:aws:iam::811596193553:user/Level6"
"42","GetCrawlers","arn:aws:iam::811596193553:user/backup"
"41","ListCompilationJobs","arn:aws:iam::811596193553:user/backup"
"41","ListCodeRepositories","arn:aws:iam::811596193553:user/backup"
"41","ListComplianceSummaries","arn:aws:iam::811596193553:user/backup"
"41","ListCommands","arn:aws:iam::811596193553:user/backup"
"41","GetHostedZoneCount","arn:aws:iam::811596193553:user/backup"
"41","ListAWSServiceAccessForOrganization","arn:aws:iam::811596193553:user/backup"
"41","ListEnvironments","arn:aws:iam::811596193553:user/backup"
"41","ListIndices","arn:aws:iam::811596193553:user/backup"
"41","ListOTAUpdates","arn:aws:iam::811596193553:user/backup"
"41","ListSubscribedWorkteams","arn:aws:iam::811596193553:user/backup"
"41","ListAlgorithms","arn:aws:iam::811596193553:user/backup"
"41","ListWebACLs","arn:aws:iam::811596193553:user/backup"
"41","ListActiveViolations","arn:aws:iam::811596193553:user/backup"
"41","ListOrganizations","arn:aws:iam::811596193553:user/backup"
"41","GetHealthCheckCount","arn:aws:iam::811596193553:user/backup"
"41","ListLabelingJobs","arn:aws:iam::811596193553:user/backup"
"41","ListWorkteams","arn:aws:iam::811596193553:user/backup"
"41","ListSpeechSynthesisTasks","arn:aws:iam::811596193553:user/backup"
"41","ListAttacks","arn:aws:iam::811596193553:user/backup"
"41","ListTransformJobs","arn:aws:iam::811596193553:user/backup"
"41","ListTaskExecutions","arn:aws:iam::811596193553:user/backup"
"41","ListComplianceItems","arn:aws:iam::811596193553:user/backup"
"40","ListAssessmentTemplates","arn:aws:iam::811596193553:user/backup"
"40","ListSentimentDetectionJobs","arn:aws:iam::811596193553:user/backup"
"40","ListRulesPackages","arn:aws:iam::811596193553:user/backup"
"40","ListModelPackages","arn:aws:iam::811596193553:user/backup"
"40","ListLocations","arn:aws:iam::811596193553:user/backup"
"40","ListHyperParameterTuningJobs","arn:aws:iam::811596193553:user/backup"
"40","ListRuleGroups","arn:aws:iam::811596193553:user/backup"
"40","DescribeOrganization","arn:aws:iam::811596193553:user/Level6"
"40","ListSpeechSynthesisTasks","arn:aws:iam::811596193553:user/Level6"
"40","GetBucketLifecycle","arn:aws:iam::811596193553:user/backup"
"40","ListEntityRecognizers","arn:aws:iam::811596193553:user/backup"
"40","ListSourceCredentials","arn:aws:iam::811596193553:user/backup"
"40","GetConnectors","arn:aws:iam::811596193553:user/backup"
"40","ListMemberAccounts","arn:aws:iam::811596193553:user/backup"
"40","ListDatasets","arn:aws:iam::811596193553:user/backup"
"40","ListDocumentClassificationJobs","arn:aws:iam::811596193553:user/backup"
"40","ListAgents","arn:aws:iam::811596193553:user/backup"
"40","ListAvailableZones","arn:aws:iam::811596193553:user/backup"
"40","ListStreams","arn:aws:iam::811596193553:user/Level6"
"40","ListDocumentClassifiers","arn:aws:iam::811596193553:user/backup"
"40","ListDominantLanguageDetectionJobs","arn:aws:iam::811596193553:user/backup"
"40","GetCloudFormationStackRecords","arn:aws:iam::811596193553:user/backup"
"40","GetGroups","arn:aws:iam::811596193553:user/backup"
"40","ListConfigurations","arn:aws:iam::811596193553:user/Level6"
"40","ListShards","arn:aws:iam::811596193553:user/backup"
"40","ListEntitiesDetectionJobs","arn:aws:iam::811596193553:user/backup"
"40","ListAvailableZones","arn:aws:iam::811596193553:user/Level6"
"40","ListKeyPhrasesDetectionJobs","arn:aws:iam::811596193553:user/backup"
"40","DescribeTags","arn:aws:iam::811596193553:user/backup"
"40","GetIndexingConfiguration","arn:aws:iam::811596193553:user/backup"
"40","ListQueues","arn:aws:iam::811596193553:user/Level6"
"39","GetBlueprints","arn:aws:iam::811596193553:user/Level6"
"39","ListJobTemplates","arn:aws:iam::811596193553:user/Level6"
"39","ListCertificates","arn:aws:sts::811596193553:assumed-role/SecurityMonkey/secmonkey"
"39","DescribeLogStreams","arn:aws:iam::811596193553:user/Level6"
"39","ListWebhooks","arn:aws:iam::811596193553:user/Level6"
"39","ListDocumentClassifiers","arn:aws:iam::811596193553:user/Level6"
"39","ListEntitiesDetectionJobs","arn:aws:iam::811596193553:user/Level6"
"39","ListSizeConstraintSets","arn:aws:iam::811596193553:user/backup"
"39","ListSecurityConfigurations","arn:aws:iam::811596193553:user/backup"
"39","GetDiskSnapshots","arn:aws:iam::811596193553:user/Level6"
"39","ListEntityRecognizers","arn:aws:iam::811596193553:user/Level6"
"39","ListDominantLanguageDetectionJobs","arn:aws:iam::811596193553:user/Level6"
"39","ListBrokers","arn:aws:iam::811596193553:user/Level6"
"39","GetCloudFormationStackRecords","arn:aws:iam::811596193553:user/Level6"
"39","GetServers","arn:aws:iam::811596193553:user/Level6"
"39","ListKeyPhrasesDetectionJobs","arn:aws:iam::811596193553:user/Level6"
"39","GetBucketNotification","arn:aws:iam::811596193553:user/backup"
"39","ListShards","arn:aws:iam::811596193553:user/Level6"
"39","ListAssessmentTemplates","arn:aws:iam::811596193553:user/Level6"
"39","DescribeLimits","arn:aws:iam::811596193553:user/Level6"
