"occurrences","user_arn","source_ip_address","user_agent"
"11","arn:aws:iam::811596193553:user/backup","255.4.5.206","aws-cli/1.11.127 Python/2.7.12 Linux/4.10.0-30-generic botocore/1.5.92"
"10","arn:aws:iam::811596193553:user/backup","236.210.55.224","aws-cli/1.18.47 Python/3.7.6 Linux/5.4.0-kali3-amd64 botocore/1.15.47"
"10","arn:aws:iam::811596193553:user/backup","248.251.245.4","aws-cli/1.16.96 Python/2.7.16 Linux/4.19.0-kali5-amd64 botocore/1.12.86"
"10","arn:aws:iam::811596193553:user/backup","4.66.46.238","aws-cli/1.16.210 Python/3.6.7 Linux/4.17.0-kali1-amd64 botocore/1.12.200"
"10","arn:aws:iam::811596193553:user/backup","254.17.231.230","aws-cli/1.16.140 Python/3.6.0 Windows/10 botocore/1.12.130"
"10","arn:aws:iam::811596193553:user/Level6","233.253.251.0","AWSPowerShell/3.3.542.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.53329.0 WindowsPowerShell/2019.-1 ClientSync"
"10","arn:aws:iam::811596193553:user/backup","252.15.75.166","aws-cli/1.16.196 Python/2.7.10 Darwin/18.6.0 botocore/1.12.186"
"10","arn:aws:iam::811596193553:user/backup","237.25.162.210","aws-cli/1.16.199 Python/2.7.15 Darwin/16.7.0 botocore/1.12.189"
"10","arn:aws:iam::811596193553:user/backup","63.249.251.184","aws-cli/1.16.280 Python/3.7.5 Linux/4.19.0-kali4-amd64 botocore/1.13.17"
"10","arn:aws:iam::811596193553:user/backup","9.0.251.231","aws-cli/1.16.109 Python/3.5.2 Linux/4.4.0-151-generic botocore/1.12.99"
"10","arn:aws:iam::811596193553:user/backup","0.52.31.206","aws-sdk-go/1.1.0 (go1.5.2; darwin; amd64)"
"10","arn:aws:iam::811596193553:user/backup","4.239.255.179","Boto3/1.7.48 Python/3.6.7 Linux/4.15.0-50-generic Botocore/1.10.48"
"10","arn:aws:iam::811596193553:user/backup","251.226.255.250","aws-cli/1.16.122 Python/3.6.7 Linux/4.15.0-20-generic botocore/1.12.112"
"10","arn:aws:iam::811596193553:user/Level6","63.196.215.112","Boto3/1.9.142 Python/3.7.3 Linux/5.0.8-arch1-1-ARCH Botocore/1.12.142"
"10","arn:aws:iam::811596193553:user/Level6","39.206.87.24","aws-cli/1.15.51 Python/2.7.15rc1 Linux/4.15.0-kali2-amd64 botocore/1.10.50"
"10","arn:aws:iam::811596193553:user/Level6","4.239.255.179","aws-cli/1.16.168 Python/3.6.7 Linux/4.15.0-50-generic botocore/1.12.158"
"10","arn:aws:iam::811596193553:user/backup","252.170.3.216","aws-sdk-nodejs/2.513.0 win32/v8.11.1 exec-env/AWS_Lambda_nodejs"
"10","arn:aws:iam::811596193553:user/backup","2.5.253.226","aws-cli/1.16.130 Python/2.7.15rc1 Linux/4.15.0-47-generic botocore/1.12.120"
"10","arn:aws:iam::811596193553:user/backup","252.16.226.27","aws-cli/1.16.99 Python/3.6.7 Linux/4.15.0-45-generic botocore/1.12.89"
"9","arn:aws:iam::811596193553:user/Level6","0.209.148.148","Boto3/1.10.8 Python/3.7.4 Darwin/18.6.0 Botocore/1.13.8"
